# Time since Start (s)	Non-Conservative Translational Work (J)	Non-Conservative Rotational Work (J)	Work from Gravity-Gradient Torque (J)	Work from Aspherical Earth Potential (J)	Work from Sun Acceleration (J)	Work from Moon Acceleration (J)	Earth Potential Energy (J)	Sun Potential (J)	Moon Potential (J)
89424000.000000	0.0000000000000000e+00	-9.4648816984484763e-07	1.3677066237882835e+01	2.7142219890439995e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5921993834360889e+11	0.0000000000000000e+00	0.0000000000000000e+00
89510400.000000	0.0000000000000000e+00	-9.4744152054996354e-07	1.3714089188916699e+01	2.7120974628899574e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5740343764349750e+11	0.0000000000000000e+00	0.0000000000000000e+00
89596800.000000	0.0000000000000000e+00	-9.4838081883689150e-07	1.3720717494198718e+01	2.6730777062114094e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5777803541569019e+11	0.0000000000000000e+00	0.0000000000000000e+00
89683200.000000	0.0000000000000000e+00	-9.4934261893704954e-07	1.3734015297526774e+01	2.6839638102249565e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5866443894673877e+11	0.0000000000000000e+00	0.0000000000000000e+00
89769600.000000	0.0000000000000000e+00	-9.5032625282871752e-07	1.3743113737925313e+01	2.7273912536386246e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5707808413318921e+11	0.0000000000000000e+00	0.0000000000000000e+00
89856000.000000	0.0000000000000000e+00	-9.5125952914928939e-07	1.3781421622800508e+01	2.7180101910902439e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5887781322449225e+11	0.0000000000000000e+00	0.0000000000000000e+00
89942400.000000	0.0000000000000000e+00	-9.5220103124028143e-07	1.3763286005605821e+01	2.6813282555754280e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5773101335163470e+11	0.0000000000000000e+00	0.0000000000000000e+00
90028800.000000	0.0000000000000000e+00	-9.5311243426494294e-07	1.3734201525906570e+01	2.6995659362944321e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5724081001186096e+11	0.0000000000000000e+00	0.0000000000000000e+00
90115200.000000	0.0000000000000000e+00	-9.5399505982534855e-07	1.3872614624491701e+01	2.7402270934882030e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5924931387077179e+11	0.0000000000000000e+00	0.0000000000000000e+00
90201600.000000	0.0000000000000000e+00	-9.5489930233583752e-07	1.3774180269141588e+01	2.7240874834191658e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5716587704269781e+11	0.0000000000000000e+00	0.0000000000000000e+00
90288000.000000	0.0000000000000000e+00	-9.5577517686347086e-07	1.3829636432061610e+01	2.6898601189762135e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5801484014724103e+11	0.0000000000000000e+00	0.0000000000000000e+00
90374400.000000	0.0000000000000000e+00	-9.5666332590283520e-07	1.3826975365952146e+01	2.7143549443858585e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5851955098816821e+11	0.0000000000000000e+00	0.0000000000000000e+00
90460800.000000	0.0000000000000000e+00	-9.5755501748863058e-07	1.3883036166702636e+01	2.7517636686549591e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5713654620659375e+11	0.0000000000000000e+00	0.0000000000000000e+00
90547200.000000	0.0000000000000000e+00	-9.5841158150717515e-07	1.3879360567578789e+01	2.7292793299517498e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5896763623021570e+11	0.0000000000000000e+00	0.0000000000000000e+00
90633600.000000	0.0000000000000000e+00	-9.5929761540953090e-07	1.3809998382876813e+01	2.6997382673790520e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5745460019804578e+11	0.0000000000000000e+00	0.0000000000000000e+00
90720000.000000	0.0000000000000000e+00	-9.6020565489054175e-07	1.3944647716203258e+01	2.7304673162116669e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5753114137742828e+11	0.0000000000000000e+00	0.0000000000000000e+00
90806400.000000	0.0000000000000000e+00	-9.6112129440112828e-07	1.3851472913044095e+01	2.7629032402608692e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5919146896655920e+11	0.0000000000000000e+00	0.0000000000000000e+00
90892800.000000	0.0000000000000000e+00	-9.6211070923452400e-07	1.3947074760278731e+01	2.7350201627652786e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5697418204636700e+11	0.0000000000000000e+00	0.0000000000000000e+00
90979200.000000	0.0000000000000000e+00	-9.6307405569894337e-07	1.3930140017394473e+01	2.7100835739460918e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5826229799928900e+11	0.0000000000000000e+00	0.0000000000000000e+00
91065600.000000	0.0000000000000000e+00	-9.6400789926984497e-07	1.3936168687372875e+01	2.7454963214751221e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5834554952591058e+11	0.0000000000000000e+00	0.0000000000000000e+00
91152000.000000	0.0000000000000000e+00	-9.6496072711644778e-07	1.3955755258345535e+01	2.7726249232498775e+10	0.0000000000000000e+00	0.0000000000000000e+00	-4.5723392793379321e+11	0.0000000000000000e+00	0.0000000000000000e+00
